ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
62,"AV. SAQUAREMA, N 883",PORTO NOVO,SAQUAREMA,"AV. SAQUAREMA, N 883	PORTO NOVO	SAQUAREMA",-22.928838,-42.488189
63,"RUA SILVA JARDIM, 46, EDIFÍCIO DO FÓRUM",CENTRO,SILVA JARDIM,"RUA SILVA JARDIM, 46, EDIFÍCIO DO FÓRUM	CENTRO	SILVA JARDIM",FAILED,FAILED
64,"RUA JOÃO AMÂNCIO, 214 - EDIFÍCIO DO FÓRUM",CENTRO,SUMIDOURO,"RUA JOÃO AMÂNCIO, 214 - EDIFÍCIO DO FÓRUM	CENTRO	SUMIDOURO",FAILED,FAILED
65,AVENIDA IPIRANGA 545,CENTRO,PETRÓPOLIS,AVENIDA IPIRANGA 545	CENTRO	PETRÓPOLIS,-22.503962,-43.175414
68,"RUA FELICIANO SODRÉ, 153",CENTRO,SÃO GONÇALO,"RUA FELICIANO SODRÉ, 153	CENTRO	SÃO GONÇALO",-22.824051,-43.048514
69,"RUA DR. FELICIANO SODRÉ, 153, 2 ANDAR",CENTRO,SÃO GONÇALO,"RUA DR. FELICIANO SODRÉ, 153, 2 ANDAR	CENTRO	SÃO GONÇALO",-22.824126,-43.048763
70,"RUA PEDRO CANEPA, 132",CENTRO,PARACAMBI,"RUA PEDRO CANEPA, 132	CENTRO	PARACAMBI",FAILED,FAILED
71,RUA VISCONDE DE SEPETIBA 987 FUNDOS 3 ANDAR,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 FUNDOS 3 ANDAR	CENTRO	NITERÓI,-22.892902,-43.118389
72,RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 - 2 ANDAR FUNDOS	CENTRO	NITERÓI,FAILED,FAILED
74,RODOVIA LUCIANO MEDEIROS 568 - EDIFICIO DO FORUM,CENTRO,ENGENHEIRO PAULO DE FRONTIN,RODOVIA LUCIANO MEDEIROS 568 - EDIFICIO DO FORUM	CENTRO	ENGENHEIRO PAULO DE FRONTIN,FAILED,FAILED
75,"AV. DR. ALBERTO TORRES, 81 - CENTRO",CENTRO,CAMPOS DOS GOYTACAZES,"AV. DR. ALBERTO TORRES, 81 - CENTRO	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
76,"AV. ALBERTO TORRES, 81",CENTRO,CAMPOS DOS GOYTACAZES,"AV. ALBERTO TORRES, 81	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
78,"AV. BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
79,"AV. BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
83,"RUA PARANÁ, N. 1 (3ANDAR) - 3 ANDAR",CENTRO,MESQUITA,"RUA PARANÁ, N. 1 (3ANDAR) - 3 ANDAR	CENTRO	MESQUITA",-22.782613,-43.430494
84,"RUA CORONEL BERNARDINO DE MELO, 2585",CENTRO,NOVA IGUAÇU,"RUA CORONEL BERNARDINO DE MELO, 2585	CENTRO	NOVA IGUAÇU",-22.758847,-43.455823
87,"RUA OLIVEIRA BOTELHO, S/N",NEVES,SÃO GONÇALO,"RUA OLIVEIRA BOTELHO, S/N	NEVES	SÃO GONÇALO",-22.854618,-43.097905
88,AV. PRESIDENTE LINCOLN 911 LOJA J EDIFICIO ANTARES,VILAR DOS TELES,SÃO JOÃO DE MERITI,AV. PRESIDENTE LINCOLN 911 LOJA J EDIFICIO ANTARES	VILAR DOS TELES	SÃO JOÃO DE MERITI,-22.778506,-43.367934
89,"AVENIDA PRESIDENTE LINCOLN, 911 LOJA V",VILAR DOS TELES,SÃO JOÃO DE MERITI,"AVENIDA PRESIDENTE LINCOLN, 911 LOJA V	VILAR DOS TELES	SÃO JOÃO DE MERITI",-22.776437,-43.365021
90,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 - ANTIGO FÓRUM",ATERRADO,VOLTA REDONDA,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 - ANTIGO FÓRUM	ATERRADO	VOLTA REDONDA",-22.505322,-44.085399
91,RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM,BARBARÁ,BARRA MANSA,RUA ARGEMIRO DE PAULA COUTINHO N 2000 - EDIFICIO DO FORUM	BARBARÁ	BARRA MANSA,-22.547391,-44.159224
92,"RUA BENTO LISBOA, 65",CENTRO,ARARUAMA,"RUA BENTO LISBOA, 65	CENTRO	ARARUAMA",-22.877326,-42.340609
93,"RUA JOSÉ ALVES PIMENTA, 869 - BAIRRO MATADOURO",MATADOURO,BARRA DO PIRAÍ,"RUA JOSÉ ALVES PIMENTA, 869 - BAIRRO MATADOURO	MATADOURO	BARRA DO PIRAÍ",-22.458108,-43.819787
94,"RUA ARGEMIRO DE PAULA COUTINHO, 2000",BARBARÁ,BARRA MANSA,"RUA ARGEMIRO DE PAULA COUTINHO, 2000	BARBARÁ	BARRA MANSA",-22.546884,-44.157812
95,"RUA EXPEDICIONÁRIO PAULO MOREIRA, 67",CENTRO,BOM JESUS DO ITABAPOANA,"RUA EXPEDICIONÁRIO PAULO MOREIRA, 67	CENTRO	BOM JESUS DO ITABAPOANA",-21.134902,-41.678395
96,"RUA RUI BARBOSA, 608, SOBRELOJA.",CENTRO,CABO FRIO,"RUA RUI BARBOSA, 608, SOBRELOJA.	CENTRO	CABO FRIO",-22.881623,-42.019484
97,"RUA MARIA JACOB, 134 - EDIFICIO DO FORUM",CENTRO,CAMBUCI,"RUA MARIA JACOB, 134 - EDIFICIO DO FORUM	CENTRO	CAMBUCI",FAILED,FAILED
98,"AV. ALBERTO TORRES, 81",CENTRO,CAMPOS DOS GOYTACAZES,"AV. ALBERTO TORRES, 81	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
101,"RUA OLÍVIA TEIXEIRA DA SILVA, 85",CENTRO,CANTAGALO,"RUA OLÍVIA TEIXEIRA DA SILVA, 85	CENTRO	CANTAGALO",-21.981431,-42.369736
102,"RUA MANOEL GOULART, 42 - LOJAS 01 E 02",CENTRO,CARMO,"RUA MANOEL GOULART, 42 - LOJAS 01 E 02	CENTRO	CARMO",FAILED,FAILED
103,"AVENIDA BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AVENIDA BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
104,"RUA DESEMBARGADOR FERREIRA PINTO, 09, CENTRO, ITABORAÍ/RJ",CENTRO,ITABORAÍ,"RUA DESEMBARGADOR FERREIRA PINTO, 09, CENTRO, ITABORAÍ/RJ	CENTRO	ITABORAÍ",-22.741962,-42.855761
105,RUA MOISÉS ABRAÃO 124,CENTRO,ITAGUAÍ,RUA MOISÉS ABRAÃO 124	CENTRO	ITAGUAÍ,-22.871634,-43.77957
106,"RUA JOAQUIM SOARES MONTEIRO, 001 - EDIFÍCIO DO FORUM",LOTEAMENTO RECREIO,ITAOCARA,"RUA JOAQUIM SOARES MONTEIRO, 001 - EDIFÍCIO DO FORUM	LOTEAMENTO RECREIO	ITAOCARA",FAILED,FAILED
